male,female,word,p_w,p_w_male,p_w_female,PMI_male,PMI_female,NPMI_male,NPMI_female
10,19,erwachsenenbild,2.1245888188018783e-4,9.11917854439672e-5,7.079514121767642e-4,-0.6268565659472709,2.8301108345454664,-0.029671431161764784,0.14835048496046183
3,8,sonderschul,8.058785174765746e-5,2.735753563319016e-5,2.9808480512705867e-4,-0.8614288130851034,2.934513954246966,-0.03857620132482019,0.1471510344936951
1,4,kindergart,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,berlin-karlshorst,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,coh,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,nachnam,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,linke,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,lambrecht,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,david,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,greenpeac,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,andernach,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,veranstalt,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
1,4,verbraucherzentral,3.6630841703480663e-5,9.11917854439672e-6,1.4904240256352933e-4,-1.1715837413889432,3.0298241340512906,-0.05000530552432092,0.146826971713993
