male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
12,33,niedersachs,0.003416078342063311,9.109542245502164e-4,0.002505124117513095,-0.0776286442756346,0.05084718372926163
4,13,ehemal,0.0012905184847794731,3.036514081834055e-4,9.868670765960678e-4,-0.08255224688769636,0.05005594126924227
4,13,mai,0.0012905184847794731,3.036514081834055e-4,9.868670765960678e-4,-0.08255224688769636,0.05005594126924227
3,10,eltern,9.868670765960678e-4,2.277385561375541e-4,7.591285204585136e-4,-0.08203590560059514,0.04904900457633739
1,4,einzig,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,position,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,i,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,gleich,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,senat,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,alternativ,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,bundesvorsitz,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,bank,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,seminar,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,fungiert,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,diplom-volkswirt,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,sachsisch,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,parteivorstand,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,zusammenarbeit,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,aufgab,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,mannheim,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,presse-,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,list,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,unterlag,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,christian-albrechts-universitat,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,schulbesuch,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,biographi,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
1,4,rheinland,3.795642602292568e-4,7.591285204585137e-5,3.036514081834055e-4,-0.0876205156515255,0.04834249884611221
2,7,pos,6.832156684126623e-4,1.5182570409170274e-4,5.313899643209595e-4,-0.08254514522499555,0.04819426950285605
2,7,vorstandsmitglied,6.832156684126623e-4,1.5182570409170274e-4,5.313899643209595e-4,-0.08254514522499555,0.04819426950285605
2,7,vizeprasident,6.832156684126623e-4,1.5182570409170274e-4,5.313899643209595e-4,-0.08254514522499555,0.04819426950285605
2,7,grund-,6.832156684126623e-4,1.5182570409170274e-4,5.313899643209595e-4,-0.08254514522499555,0.04819426950285605
2,7,verbracht,6.832156684126623e-4,1.5182570409170274e-4,5.313899643209595e-4,-0.08254514522499555,0.04819426950285605
2,7,schleswig-holstein,6.832156684126623e-4,1.5182570409170274e-4,5.313899643209595e-4,-0.08254514522499555,0.04819426950285605
2,7,alter,6.832156684126623e-4,1.5182570409170274e-4,5.313899643209595e-4,-0.08254514522499555,0.04819426950285605
4,12,romisch-kathol,0.001214605632733622,3.036514081834055e-4,9.109542245502164e-4,-0.07506738395770955,0.04671004225363654
