female,male,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,45,handelskamm,2.279823561480894e-4,2.2302621797095704e-4,4.956138177132378e-6,0.025665224418671893,-0.1863045539964067
1,45,dienstgrad,2.279823561480894e-4,2.2302621797095704e-4,4.956138177132378e-6,0.025665224418671893,-0.1863045539964067
4,94,entlassung,4.8570154135897306e-4,4.6587698865044357e-4,1.9824552708529513e-5,0.025562513417368333,-0.15197918490389942
11,180,eingezog,9.466223918322843e-4,8.921048718838282e-4,5.4517519948456164e-5,0.025414849474089774,-0.13256868223879964
1,41,hauptmann,2.0815780343955988e-4,2.0320166526242752e-4,4.956138177132378e-6,0.025134973129620652,-0.17885693678308157
2,57,vertrieb,2.924121524508103e-4,2.824998760965456e-4,9.912276354264757e-6,0.024877114976157237,-0.15895497384363258
1,39,volksschulabschluss,1.9824552708529514e-4,1.9328938890816275e-4,4.956138177132378e-6,0.024845279096000067,-0.17486261597638605
1,37,einberuf,1.883332507310304e-4,1.83377112553898e-4,4.956138177132378e-6,0.024536306767377773,-0.17066337056485884
6,109,eingesetzt,5.699558903702235e-4,5.402190613074293e-4,2.973682906279427e-5,0.02448231116123797,-0.13433781390385208
1,36,ruckwirk,1.83377112553898e-4,1.7842097437676562e-4,4.956138177132378e-6,0.02437376042873266,-0.1684801121968718
19,244,ersten,0.0013034643405858155,0.0012092977152203003,9.41666253655152e-5,0.024233235954887373,-0.11593425663011701
1,35,landwirtschaftsschul,1.7842097437676562e-4,1.7346483619963324e-4,4.956138177132378e-6,0.02420532957477053,-0.16623703114673127
6,106,humanist,5.550874758388264e-4,5.253506467760321e-4,2.973682906279427e-5,0.02419643173121401,-0.1318017933741247
4,80,britisch,4.1631560687911977e-4,3.964910541705903e-4,1.9824552708529513e-5,0.024127546987874202,-0.13774365755988935
3,66,notar,3.419735342221341e-4,3.27105119690737e-4,1.4868414531397136e-5,0.02408978354443037,-0.14236259815319713
1,34,hamm,1.7346483619963324e-4,1.6850869802250088e-4,4.956138177132378e-6,0.02403058033867225,-0.1639307564717747
1,34,reserveoffizi,1.7346483619963324e-4,1.6850869802250088e-4,4.956138177132378e-6,0.02403058033867225,-0.1639307564717747
1,34,handwerk,1.7346483619963324e-4,1.6850869802250088e-4,4.956138177132378e-6,0.02403058033867225,-0.1639307564717747
6,104,vertret,5.451751994845616e-4,5.154383704217674e-4,2.973682906279427e-5,0.023999537307862952,-0.13007308851751256
729,4587,wurd,0.026346830549635724,0.02273380581850622,0.003613024731129504,0.023859724942471964,-0.07715339728707907
1,33,inhab,1.6850869802250088e-4,1.635525598453685e-4,4.956138177132378e-6,0.023849031587151643,-0.16155762402512833
4,75,landrat,3.915349159934579e-4,3.717103632849284e-4,1.9824552708529513e-5,0.023529029299031213,-0.13207634999308668
13,174,nationalsozialist,9.267978391237548e-4,8.623680428210339e-4,6.442979630272092e-5,0.023487599756921634,-0.1153589531508944
1,31,erlitt,1.585964216682361e-4,1.5364028349110372e-4,4.956138177132378e-6,0.023463332344507017,-0.15659444768740355
1,31,ausgeschloss,1.585964216682361e-4,1.5364028349110372e-4,4.956138177132378e-6,0.023463332344507017,-0.15659444768740355
